Time_min,Time_hr,DHFU_uM,FBAL_uM,Excreted_5FU_umol,Excreted_FBAL_umol,Excreted_Metabolites_umol
292,4.86666666666667,0,0,0,0,0
294,4.9,0,0,0,0,0
296,4.93333333333333,0,0,0,0,0
298,4.96666666666667,0,0,0,0,0
300,5,0,0,0,0,0
302,5.03333333333333,0,0,0,0,0
304,5.06666666666667,0,0,0,0,0
306,5.1,0,0,0,0,0
308,5.13333333333333,0,0,0,0,0
310,5.16666666666667,0,0,0,0,0
312,5.2,0,0,0,0,0
314,5.23333333333333,0,0,0,0,0
316,5.26666666666667,0,0,0,0,0
318,5.3,0,0,0,0,0
320,5.33333333333333,0,0,0,0,0
322,5.36666666666667,0,0,0,0,0
324,5.4,0,0,0,0,0
326,5.43333333333333,0,0,0,0,0
328,5.46666666666667,0,0,0,0,0
330,5.5,0,0,0,0,0
332,5.53333333333333,0,0,0,0,0
334,5.56666666666667,0,0,0,0,0
336,5.6,0,0,0,0,0
338,5.63333333333333,0,0,0,0,0
340,5.66666666666667,0,0,0,0,0
342,5.7,0,0,0,0,0
344,5.73333333333333,0,0,0,0,0
346,5.76666666666667,0,0,0,0,0
348,5.8,0,0,0,0,0
350,5.83333333333333,0,0,0,0,0
352,5.86666666666667,0,0,0,0,0
354,5.9,0,0,0,0,0
356,5.93333333333333,0,0,0,0,0
358,5.96666666666667,0,0,0,0,0
360,6,0,0,0,0,0
362,6.03333333333333,0,0,0,0,0
364,6.06666666666667,0,0,0,0,0
366,6.1,0,0,0,0,0
368,6.13333333333333,0,0,0,0,0
370,6.16666666666667,0,0,0,0,0
372,6.2,0,0,0,0,0
374,6.23333333333333,0,0,0,0,0
376,6.26666666666667,0,0,0,0,0
378,6.3,0,0,0,0,0
380,6.33333333333333,0,0,0,0,0
382,6.36666666666667,0,0,0,0,0
384,6.4,0,0,0,0,0
386,6.43333333333333,0,0,0,0,0
388,6.46666666666667,0,0,0,0,0
390,6.5,0,0,0,0,0
