start_time_min,end_time_min,dosing_type,dose_amount,infusion_rate,amplitude,frequency_per_min,mean_rate,custom_function,custom_params
1060,1060,bolus,632.994863239884,0,0,0,0,NaN,NaN
1060,1720,continuous,0,1.43869121517874,0,0,0,NaN,NaN
1780,1780,bolus,632.994863239884,0,0,0,0,NaN,NaN
1780,2440,continuous,0,1.43869121517874,0,0,0,NaN,NaN
2500,2500,bolus,632.994863239884,0,0,0,0,NaN,NaN
2500,3160,continuous,0,1.43869121517874,0,0,0,NaN,NaN
3220,3220,bolus,632.994863239884,0,0,0,0,NaN,NaN
3220,3880,continuous,0,1.43869121517874,0,0,0,NaN,NaN
