start_time_min,end_time_min,dosing_type,dose_amount,infusion_rate,amplitude,frequency_per_min,mean_rate,custom_function,custom_params
1000,1600,continuous,0,2.55906155734374,0,0,0,NaN,NaN
1600,2320,continuous,0,0.818899698349996,0,0,0,NaN,NaN
2320,3040,continuous,0,2.55906155734374,0,0,0,NaN,NaN
3040,3760,continuous,0,0.818899698349996,0,0,0,NaN,NaN
3760,4480,continuous,0,2.55906155734374,0,0,0,NaN,NaN
4480,5200,continuous,0,0.818899698349996,0,0,0,NaN,NaN
5200,5920,continuous,0,2.55906155734374,0,0,0,NaN,NaN
5920,6640,continuous,0,0.818899698349996,0,0,0,NaN,NaN
6640,7360,continuous,0,2.55906155734374,0,0,0,NaN,NaN
