Time_min,Time_hr,Systemic_FdUMP_uM,Systemic_FdUTP_uM,Systemic_FUTP_uM,Tumor_FdUMP_uM,Tumor_FdUTP_uM,Tumor_FUTP_uM
3605.2,60.0866666666667,7.76013090314461,4.89732609821635,22.9857598413248,0.578234342025732,0.216052643400457,3.09189419711215
3605.4,60.09,7.7612358642284,4.89719443031881,22.9834304050486,0.578214872020098,0.216046048630383,3.09137526030014
3605.6,60.0933333333333,7.76233970043328,4.89706286433577,22.9811033329735,0.578195417864413,0.2160394589602,3.0908567784889
3605.8,60.0966666666667,7.76344241096587,4.89693140030166,22.9787786227039,0.578175979554683,0.216032874391284,3.09033875128886
3606,60.1,7.76454399503371,4.89680003825079,22.9764562718476,0.578156557086934,0.216026294925008,3.08982117831083
3606.2,60.1033333333333,7.76564445184524,4.89666877821745,22.9741362780155,0.578137150457209,0.216019720562744,3.08930405916605
3606.4,60.1066666666667,7.76674378060979,4.89653762023586,22.9718186388216,0.57811775966157,0.21601315130586,3.08878739346614
3606.6,60.11,7.76784198053761,4.89640656434017,22.9695033518834,0.5780983846961,0.216006587155725,3.08827118082312
3606.8,60.1133333333333,7.76893905083985,4.89627561056445,22.9671904148211,0.578079025556899,0.216000028113704,3.08775542084942
3607,60.1166666666667,7.77003499072856,4.89614475894275,22.9648798252585,0.578059682240085,0.215993474181161,3.08724011315785
3607.2,60.12,7.7711297994167,4.89601400950901,22.9625715808223,0.578040354741796,0.215986925359457,3.08672525736164
3607.4,60.1233333333333,7.77222347611813,4.89588336229713,22.9602656791424,0.578021043058188,0.215980381649952,3.08621085307439
3607.6,60.1266666666667,7.77331602004763,4.89575281734095,22.9579621178519,0.578001747185436,0.215973843054003,3.08569689991012
3607.8,60.13,7.77440743042088,4.89562237467425,22.9556608945871,0.577982467119731,0.215967309572966,3.08518339748323
3608,60.1333333333333,7.77549770645444,4.89549203433073,22.9533620069873,0.577963202857285,0.215960781208195,3.08467034540853
